####### 2022/06/22 ~ 2025/05/30 #######
# 僅移除重複字串
# https://www.facebook.com/groups/1141798046611751/user/100001471821039/
香港Web3.0 m.qgqhbv.cc
職場先鋒 www.qweras79.com
CRYPTOCOVE cryptocoveue.com
CapitaMalls twld.cc
Amway www.quanstermall.shop
信宇投資 www.twdsun.com
增懋E先鋒 www.twkndy.com
Dreammallshop dreamall-shop.online
CEEX www.ceexex.ru
東森購物 www.yesetmallcs.com
FOREX www.forexfx.top
GDEX www.gdesnhs.vip
鼎碩 app.lridut.com
Balmy www.balmyggh.com
上海期貨交易所 www.shekugkl.vip
元普 www.yaunpuinvewebkl.com
永豐金證券 www.twktus.com
NASDAQ www.nasdaqnet.com
宏和 www.folssv.com
Solana www.solanaapto.com
Bitget www.bitgetkr.com
臺聯國際 www.ptuesw.com
TWICpro twicex.co
AliExpress aliexpress.aepws.com
丁元 www.twesiox.com
DATA+ www.careerbonus.xyz
士鼎創投 www.dhfjkuit.pro
HYMAX（慈情股份有限公司） www.tsruzki.com
DC inre.zghghru.xyz
FX fxproxp11.com
CFI m.sianvofpznf.com
JuMias jumias.shop
卡利系統（CaliBet、CaliGroup） www.cali818.net
KAVA btc.kavadifici.com
KDVRQ kdvrq.com
慈惠e行動 www.qzbjhb.com
Kraken kenvarans.com
諧永投資 twtsud.com
LaunchGate DEX www.launchgatedex.com
ZVFPE www.zvfpe.com
FlexOffers flexojkrrox.com
LBMA qyv6xotc.info
玉如意翡翠 yuruyijade.com
Lista listaexp.com
LSG www.lsavip.cc
CoinW pro www.cwprodmy.vip
Luminous lnminousweb.com
AVA www.avasappex.com
MACRO macromarketsoz.vip
CGMI 1go6y.com
Bet m.bet268.me
Abracadabra www.abracadabrawta.com
ICP www.icpbgq.com
聯元精投國際 app.bhrydt.com
BiFinance www.bifinanceys.vip
大遠百 www.fedsanniversary.com
中銀國際 zygj8968.com
DealWhale dealbeetw.xyz
永國 app.ltsure.com
CDE www.cde-tradingx.top
Onekey Exchange egiokkde.top
旭能醫藥生技股份有限公司 shiner-pharm.com
Bit Darwinex www.bitcoindarwinex.com
CoinBase www.baseproabc.top
佰匯e指賺 www.cktlor.com
Pendle www.pendlebtw.com
孤松金融 app.gusmocc.com
Pocnhie pacunieh.com
Gold Mine web.goldmines.cc
AAVE www.waavea.com
BAEX www.baexrpa.vip
國際半導體產業協會 capitalmaakx.com
RaceOption www.raceoptionl.net
善時 www.rtyfb.com
Rakuten樂天商城 ascend9.twmoxy.xyz
Rarible rarible.click
Robinhood robinhool.com
DIFX difx15.cc
Sephora www.sephoweb.com
ShinerPharm app.shiner-pharm.com
IG www.groupigoiu.com
Shopback www.shopbackps.com
Featured Alliance h5.ibnnshop.com
Shop購物網 orami10.twmoxy.top
口袋e行動 www.bsdfjch.com
SMR salmoraexchange.com
大昕國際 app.dasxinqwnqeizxc.top
abcturk｜Kripto www.abcturs.cc
小紅書 syxiaozi.com
SP-Digital ata.atafinan.com
中國金融期貨交易所 ccffex.vip
SPIELBANKHANNOVER spielbankhrannover.com
CSD m.5526156.com
APPLE corefoliabo.com
Swyft Markets swyftmarkets.com
Tesla mautosltia.com
成品測試系統 micronb.com
Thinkmarkets www.thinkmarketea.com
BITOM bitom-tw.pro
FXTB www.fxtb.xyz
TK-Store tiktok785.shop
Alphat avinyatb.com
育明基金會 www.mvfoun02.com
和盟 www.foazse.com
Bonanz www.bonanza-shopping.cfd
TrustGain www.trustgaiinn.com
GlobalStoneX www.gsxdownload.com
職達巔峰 www.workplaceso.com
盈溢證券 www.yinoosviiun.tw
TS PRO sbdhj.eeheafjx.com/eeplcox0
香港威力彩 www.power-lottery.online
國美商城（Gome） gomeshoptw.com
UB www.ub-uab3.com
得物 dewu.style
博智 app.liytrd.com
UPS ups.showmaxiolesmall.site
富邦證券 a.qh3689.xyz
VT Index vtclubdex.com
HFM www.hfmextop.com
Waroom Mall shop.dfjzt.net
誠靜投資 www.chengjinginve.com
Wavehub Derivatives www.wavehubderivatives.com
Chaseth www.chasethnice.com
WEB30ETH web30eth.com
德威Max www.hjygff.com
WG www.okwinexpro.com
樂天pro www.lgfgh.com
澳門皇冠 mo.corown8.com
WoShop myshop0001.com
諾瓦瓦克斯 novamdtwk.com
xcoins xcoinss.netlify.app
聯元 www.twtusz.com
Yahoo購物 www.yahidb.com
聯合能源 mvp.ueglhu.top
BTCC mdown.btcctw.cyou
IDEX www.idexise.com
BTSE h5.btse.club
Datameer datameer-shop.org
EXANTE www.exttakethe.com
MT10 mt10w.com.u30.store.cdn.cloudflare.net
MT10 mt10.live/mt
全球反欺騙組織 www.globalanti.com
BCA bcoinauroras.com
TRX-MINMING dapp.trxpool.xyz
tvtermtrading www.tvtermtrading.com
CEEX exchange www.cceexp.com
Bitpricing app.bitpricing.com
airentw airentw.com
Garena授權網絡服務遊戲交易平臺 garena.ur79.xyz
danawa Online Shopping jo.danawa.sbs
台灣電力公司電子帳單服務系統 twdhvlsj.sbs
ALYBC www.alybc.com
CRYACO CHAENG cryacoghaong.com
FLIX www.flixwonderful.com
遠通電收 FETC www.qnzvkpl.onl
CJONSTYLE cj-onestylestores.com
AliaExpress masophs.vip
AliaExpress 66xa43.vbifc1.cc
離岸發電 nengyuanxyz.com
曼雲基金會 www.bbffound.com
MAXCOIN es.maxi.it.com
Formosa formosac.shop
Bitpanda bitpandacyptohm.top
Abaxx Exchange m.abaxx.my
yonccu el.yonccu.com
P2P www.p2pexclub.com
P2P www.p2pvipcos.com
Tradivio h5.tradiviocce.cc
職員專區 hydrogenotc.com
Teysu www.178teysu.com
MEGFALY app.yspoiqzeco.cc
BitCoit app.bitcoittw.com
Zagmkar www.zarnnegarm.com
裕德 www.yudes.tw
Surfshark Dex surfsharkdexovl.com
WorldPay worldpayxtrading.com
BingX bingzce.com
EOS Eden union.eosoceanpark.com
Vesper www.vseperoqk.com
POYA www.poyabuystaff.com
TikTok oaeug.sbs
MTX www.mtxbe.com
PD shopping saqlyct.com
ZBTCEX www.zbtcexffp.com
恆泰 app.tuehds.com
ZhadCaiM zhaocaix.online
小紅書 rednotemarkettw.com
臺聯國際 app.duersa.com
全方位智能策略 empowergf.com
KnTop kntopx.top
Balmy www.balmyeio.com
數位雲端 www.annbdd.com
心動俱樂部 www.tsdtnk.com
Dex-Trade dextravsiv.com
TS PRO tspro.pro
ALYWS www.alyws.com
FBS www.fsbius.com
蘭桂坊 p9.sd-icecrx.vip
Gemini h5.geminins.xyz
Verasity www.verasityrt.com
Xtheta h5.xtheta-xau.xyz
IGIB www.igib.cc
AaelExChange www.aaelexpro.com
善信投資 www.ktudnr.com
LSE（London Stock Exchange） lseunicas.com
DAISO mk-backstage19.com
decluttr decluttr.cc
Micron micronss.com
Vena h5.suppryus-ec.com
BigONE www.bigonevcf.com
PMP www.pmpxcoon.com
上海期貨交易所 www.shjsouk.vip
天籟 www.jfgkhf.com
立陽投資 www.twimjss.com
花夜俱樂部 hy321.cc
Shopback www.shopbakpin.com
Coinplug www.coinpluga.com
Shopify www.cxddxpw.cn
博智 www.pejvu.com
STM Partners LLC www.stmpartnersllcpro.com
Sy多元兼職 hope1.yberty782.one
幣安（Binance、Bianxe） www.ft989.net
TKO www.tkotty.com
DC SHOP www.xeggexvp.com
BITKUB m.ioyrzqwe.cc
志得 app.krtyud.com
大疆商城 store.djiiiitw.com
FXCM my-fxcm.com
Bihain web.bihain-cs.com
FX-TMO fxmnvg.com
abcturk｜Kripto www.abcturkeaex.cc
Pendle www.pendlequi.com
CoinBase www.wudhz.top
Coinspace www.spacecoint.pro
PipsMasterPro pipsmasterpro.com
Datameer www.data-meer.vip
Gate. io gateioquhf.com
Medium mimimefo.com
E-DIGITS e-digitsa.com
CME coinme10030.cc
Dokdoemoshop www.shopdokdoems.store
星采行銷網 www.starweak.com
MOXM marketsexchangeo.com
Rcity m.pcddgame.shop
AliExpress aliexprewhsale.com
Revolut交易中心 rev.ronbhjdwa.vip
鼎邦行動贏家 www.stbool.com
Rohinhood robinhoodk.com
GNS www.gnsqbz.com
GNTO www.gntoi.com
SHOP www.correospostcl.vip
Shopee蝦皮購物 www.kckjs.xyz
Shop購物網 pp.qiaogg.com
MIX h5.mixcoini.com
SPIELBANKHANNOVER www.spielbankhnnover.top
威士忌 yosgu.cn
STGT app.putese.com
EPOCH COIN epoch-exchange.com
速約 hy7890.cc
善時 www.qwqic.com
華俐 app.tdweru.com
Syahoo! jpaphod.com
HitBTC app.ggf6.site
達夢聯盟 mdq1zdg0md.clxkm.cn/5iavxw
夢想家 bb.qbfbsj.com
增懋E先鋒 www.twhuyt.com
THE VENETIAN www.thev6.mom
TikShop tkmashopf.icu
聯上 www.njiebni.com
Mall www.nkios.online
ETH/USD www.maskvy.com
TokenX tokenx.xtoken.top
MBS www.aishyul.top
台元投資 www.tyapp.store
JTO Platform ws4.ios888.dpdns.org
Kamino www.kaminobqt.com
AID www.aidfirst.xyz
Trusts www.trusts-e.cc
MEIG meig.lat
Fast Remittance www.shiwlsqf.com
ULINK www.ulinkjge.com
旺鴻 www.fnfghf.com
Undefined m.betgin.life
UPS lai.jencient.store
MKE d2czk2kbw4pa3t.cloudfront.net/mke.html
VELORA veloravelora.com
VENTURE ventureqb.com
BLOCK www.blockbitget.pro
Moodyes moodku.com
Layer3 www.layer3ed.com
Morgan EX www.morganeeexx.com
Web3.0 wmkes.com
MT10 www.hkeexpro.net
WEPNO www.wepno.com
Blockstream coinexamm.com
順鑫國際 www.twkdst.com
LightStream DEX lightroutedexa.com
Bicoin www.lbank-x01.com
OANDA www.oamdagbs.com
XT .COM www.xtlip.com
LOTA digit.lotadefiagg.com
鼎碩 www.dtupns.com
Yearn www.yearnme.com
OKX okxmaker.com
Yei Finance www.yeifinanceftv.com
臺灣期貨交易所 a.tp6133.net
YPLW www.yplw-up.com
Yscle yscle.top
Allianz allianzet.com
BPL www.bplmana.xyz
聯捷智選股 www.lianjieinvest.com
Pacuniah pacuniah.com
EC Capital equitradecl.com
Traktime traktime.13542245.com
DeepGTP stock-deepgtp.top
Trive www.trivevip.com
XH Pro www.xh-pro.net
SAFEWAY www.safewayshop.xyz
BTC Pledge cqzh6.com
TelpyX www.telbtc.vip
澳门美高梅国际 web.tyachh.cc
CoinCatch www.coincatch.com
Amendaex www.amendaex.com
台灣電力公司 twpowertw.top
7-ELEVEN 交貨便 mshifby711-tw.cc
遠通電收 FETC www.vymsrfx.onl
MEGFALY wap.megfalyeo.com
職員專區 hydrogenog.com
網速測試平台 fastvp.com
永豐金證券 www.twndtk.com
FLIX www.flixtwsystem.com
臺聯國際 www.flthd.com
CapitaLand lidemall.vip
FBS www.fbstw.net
VENTURE ventureha.com
Alphat avinyate.com
毅德 app.ydppiou.cc
Shop購物網 tw.qumebormall.shop
TikTok www.tkshopcm.com
Pecuhlan www.pecuniace.com
LOTA digit.lotadefiaga.com
FUTEX bondmarkeakt.com
MTX www.mtxexchange.com
Gold www.twxauxjpf.com
上海期貨交易所 fesh021.vip
IFC ifcinvest.net
全方位智能策略 chaosms.com
低碳轉向 wafertitan.com
CoinTrade cointradingexchange.asia
CITI citibh.com
TK-Store jttzn.sbs
樂天pro www.ktuehs.com
tokenCoin wap.angelfund.cloud
TS PRO 909089.ztzchveo.com/eeplcox0
穩盈策略 www.teiiido.com
CGHOO www.cghoo.com
QuantaInvest trade8.metasafefive.online
鉑諾 www.twtkdu.com
CEEX dolo.ceex.su
IM intshopmarts.com
宏遠證券 www.kxzbvjk.com
Surfshark Dex surfsharkdexovi.com
BitcoinCash bit-coin-cash.asia
BooKing booking-vips.com
Fpmarkets www.fpexmarkts.com
EDGE www.edgewb.com
旺鴻 www.ktwdtu.com
UPS ups.shafermall.shop
金沙娛樂城 m.sandss9.vip
香港賽馬會 www.9885560.com
WealthChange wealthchange.zwuoc.com
華俐 www.vcrrdw.com
WEEX weexwallet.net
POSE bitpose.pro
Bitun bitunex.pro
瘋狂BUY happy-go-shops.com
Procoin www.procoin-tradingx.top
MetaSafe spades.metasafethree.online
COINFLIP coinftwvip.com
Rarible www.rariblejkd.com
SCNX securonexmarketsan.com
3791生基交易 37trade.com
心動俱樂部 aespa88.vip
Baiahpcex baiahpcex.com
KSH kshks.com
Layer3 www.layer3sxj.com
LBANK www.lbank-internat-tw.com
GDW黄金世界 gdw9999.com
慈惠e行動 www.osjfod.com
M.L.Edge app.krsrtv.com
Market-shop markets-shop.xyz
YOC yoc-max.com
MDCG mdcglvbo.top
CMC Markets fm-marstb.com
玉如意翡翠 ruyijade.com
COHO okxny.com
MEXC mexcsis-eok.top
Micron micronh.com
得物 dewutw.com
MITY Capital Ltd amitytpen.com
雲頂國際 m.yunding6188.top
Naver 9491150.cc
OKEx okex-fox.vip
職人媒合站 www.employmentw.xyz
Fmali www.fmailvip.cc
OKX okxsz.com
ZBHKE www.zbhkes.com
Balmy www.balmyjhb.com
Bitwalet m.bitwaletm.com
Bicoin mu3is6.cc/pvpPCEJyDEgQ
Coinstore coinstoervip.com
巨富達 www.qrusgb.com
光華投資 www.ltudtu.com
Pesqiu apple-down.com/3th4ti
GittiGidiyor www.gittigidiyor.one
BIT m.bit-node.sbs
宏遠 哲睿 app.tueswn.com
Costco cotcoswholes.com
Crypto crypto-scwalletx.com
信宇投資 www.lhtwud.com
Proket tw.proket.vip
HYMAX（慈情股份有限公司） www.bjdfnd.com
上海期货交易所 www.sheugts.vip
卓信國際律師事務所 www.temilawfirm.com
Gate .io gate.iosnsv.com
上海期貨交易所 www.feusho.vip
職員專區 cashgroweakr.com
Shopify www.findshopselles.store
同安自營商 www.twdyte.com
KnTop kntopxki.com
DC SHOP www.blocktrade-vip.com
花夜俱樂部 huaye1.com
UPS www.jimore.store
VENTURE venturfds.com
CEEX www.ceex.su
tokenCoin wap.equivalent.shop
LTB www.ltbltrbm.vip
臺聯國際 www.fhghj.com
天玉投資 www.fkfgh.com
Wholesale hbklomaz.top
東森購物 www.everetmalleg.com
BitCoit app.bitcopromax.com
DAISO mk-backstage21.com
CDK cdktradingplatformb.com
Hscylle www.hscylle.online
宏和 www.twnbus.com
Bitmain bitmain.buzz
Karken m.karkenvip.cc
POSE coinpose-tw.pro
TS PRO aemqs.tkrtsiar.com/eeplcox0
宏利PRO www.dgflsfd.com
達夢聯盟 n2jiyjk4md.vehwj.com/5iavxw
Layer3 www.layer3yqr.com
TMTG www.tmtgea.online
Shop購物網 tw.kerynslqumall.store
LightRoute DEX www.lightroutedex.com
犇亞 www.uhsbhd.com
GlobalStoneX www.downloadsdsd.com
TCWOJ www.tcwoj.com
AI Public aipublicglobalaa.com
CoinBase www.rocid.top
宏遠證券 www.ptuews.com
UUEX www.uuexkap.vip
Micron micronk.com
愛紅基金會 www.mdfoun02.com
Vesper www.vesperqbw.com
CITI www.citinl.com
VT Index www.vtopdexapps.com
VT Trade www.vtapswebs.com
CC-Ginseng cbsrsgw112.cc
WealthChange www.wealthchangex.com
Shopback www.shopbackpigs.com
WLFI web3.wlfibit.com
Alphat avinyagw.com
Pendle www.pendlenta.com
Zaemgat www.zarnnegar.com
善時 www.wondlq.com
匯e智能贏家 bvnfg.com
大遠百 www.fedsvipmembers.com
Bitget web.btcpolnt.top
幣安（Binance、Bianxe） www.binamcebas.com
Adscloud（廣告雲） www.adscloud-pro.store
數位雲端 www.twdkyd.com
台灣住友商事股份有限公司 www.sumitomocorptw.cc
獎金統計 www.careerintroduction.xyz
巨富達 www.ktesrw.com
Undefined socialseovip.com
農夫山泉 nfsq6888.com
伯華投資 play-google.bohua.site
Chairish Asia chairishasia.shop
Gate.io gateiomkm.com
BingX binghki.com
志得 www.nttrtr.com
ClaytonMarkets www.claytonmkcrms.com
Aokoio www.aokoiort.com
NASDAQ m.nasdaqnet.com
NeoTrade neotrade.xin
OKX apkapkttik.top
BAEX www.baextas.vip
Okxbit h5.okxbits-go.vip
Onchain onchainweb.pro
盈溢證券 pereligiousnews.com
ORCA bowheas.top
國際半導體產業協會 investcorake.com
OTC oslet.cc
AI Semiconductor coinszkesvx.com
愛丁頓集團 www.edringtonpub.com
Panasonic www.swenpanasonic.com
AEO www.aeocc.qpon
德捷 www.dshxrtaw.com
Low Earth orbit lowearthorbitor.com
CFI www.cficoinop.com
中國金融期貨交易所 www.cffexs.vip
日立新能源 www.hsct.cc
Gemini www.geminiopb.com
CMC Marketsc cmcfinance.org
Cmcmarketsc cmcfinance.net
宏遠/哲睿投資有限公司 www.tailianioir.tw
CME coinme10020.cc
Coatue app.coatue25.com
Bitpanda hashr.top
QuantaInvest wealth.metasafefour.online
香港易美 hkeasybeauty.com
Coinhako coinha.leyiu.com
康姿基金會 www.wdfound02.com
SafePal-Web3 gpu-etf-web3.cc
Brezto brezto.fun
Coinplug www.coinpluge.com
順鑫國際 www.qiuenjf.com
ACDX acdx3.cc
新銳投資 www.hruvox.com
ArtaFinance arta.atafinan.com
KAVA btc.kavadific.com
Sophon m.sophon.lat
KuCoin kucoin.trading
Coinstore coinlockerpro.vip
bevbox Shop hzwcc.com
SRE Group marketbrko.com
LEAVX laevx.com
AM EXCHANGE www.amexglobe.com
澳門彩票有限公司 macaulotterylimited.com
CoinTrade cointradingex-change.com
STM Partners LLC www.stmpartnersllct.com
蘇寧易購 suninginvite.com
StormGain stormwavel.com
Summits Capitals summitscapitals.com
CoinW pro www.cwproeis.vip
COMEX comex-vip.com
TechNova www.technovak.com
TEMU www.caexe.cn
AVA www.avaexsapp.com
GNRT www.gnrti.com
Tether Cross tethermarkt.com
低碳轉向 wafersync.com
Thinkmarkets thinkmarketda.com
Goldspire Financial www.goldspiirefinancial.com
AliExpress www.aliexprewh.com
GPT pc.gpt-web3.vip
和盟 www.rtyhr.com
Cryptoasset www.cryptoasset-tradingx.top
D2X www.d2xcen.com
金山德聚 www.tysuzx.com
BITCOINTRUST www.bitcointrustex.top
DAMALL mk-backstage6.com
盈瑞證券 app.yurrte.com
DC spil.wehl7.xyz
HYMAX（慈情股份有限公司） www.xkaioe.com
ICP www.icpbxq.com
Amazon ama.aajkq.cyou
Dex-Trade dextravsi.com
康佑基金會 www.mdfoun03.com
DigaInvest digainvest.com
第一金 first-gold.trade
DOZO www.appdozo.com
勝嘉投資 www.sloganhere.xyz
Branch Trading www.branch-trade.com
Waggy powergendx.com
EPOCH COIN epoch-d.com
EXANTE www.extsoldier.com
達人新時代 www.masterdalen.com
KDVRQ www.kdvrq.com
Bet m.bet-top.me
Xing BUY內部商務平台 www.lixinpipi.com
碩天 252b0b.jypwtiuk.com/wl85n7w3
福康基金會 www.wdfound01.com
FBS tw-fbs.top
增懋E先鋒 www.closcx.com
FBX www.lfxayuh.com
慾夜俱樂部 yy123q.cc
Yei Finance www.yeifinancebfg.com
LHPQE www.lhpqe.com
磐石基金 jl.yw79.bond
Zarnegar www.zoniwoom.com
職員內部系統 novamdtwh.com
職涯活動網 careerinformation.xyz
FlexOffers flexorfrsex.com
Zozo購物中心 www.zozo-worlshops.com
蘭桂坊 p9.jeswkj.com
Allianz www.allianzere.com
Elemental Mysterie www.emedcrfvxs.top
Elemental Mysterie emhintden.com
Fishbatseo fishbatseo.com
澳门美高梅国际 h5.qrdumc.cc
Zhwlex zhwlex.us
olcha. uz malorys.top
MetoriX metorix.net
Assets Holding assetsholding.net
BYDFi Pro www.bydfirop.com
MysteriousPlants mysteriousplants.net
LBMA pc.lbma-forex.com
CoinList Pro coinlistpro.com
BingX bingqwv.com
Hscglle www.hscglle.top
Featured Alliance h5.iaoshop.com
AI Semiconductor aisemiconductorq.com
神通 gainsquarake.com
shopeess www.moyu-b4.xyz
職員專區 hydrogenob.com
AI Public aipublicglobalbb.com
廣告雲活動媒合平台 www.adscloud-pro.top
職場先鋒 www.tyedjsa5.com
童心弦韻 childlikestrings.com
TrustyBit EX www.extrustorhube.com
IC Index www.icapptdex.com
樂信快貸 shopeehpn.cyou
EDGE edge.edgewb.com
txmga授權網絡服務遊戲交易平臺 txmga.t5ksue.top
